Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1377,"C Paul","Digital art",2023,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=46K7EAAAQBAJ&oi=fnd&pg=PP10&dq=mixed+reality&ots=YhK8O8Lg__&sig=jRMTA2DtL78TylHYOMt6WieX5kA","https://scholar.google.com/scholar?cites=5776095500587692589&as_sdt=2005&sciodt=0,5&hl=en",182,"2023-12-13 11:24:03","BOOK","","","",,,,,1377,1377.00,1377,1,1,"… or simulated forms of reality, or a sense of the ‘hyperreal’. The fact that the digital medium allows for a seamless reconstruction and manipulation of reality seems to have heightened an …","http://mission-base.com/manzanar/articles/ChristianePaul_DIGITALART_chapter2-excerpt_2003.pdf","https://scholar.google.com/scholar?q=related:LfJCNUHQKFAJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
351,"AD Kaplan, J Cruit, M Endsley, SM Beers…","The effects of virtual reality, augmented reality, and mixed reality as training enhancement methods: A meta-analysis",2021,"Human …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0018720820904229","https://scholar.google.com/scholar?cites=2909967732783144567&as_sdt=2005&sciodt=0,5&hl=en",3,"2023-12-13 11:24:03","","10.1177/0018720820904229","","",,,,,351,175.50,70,5,2,"… flat panel displays, we are witnessing an increasing use of augmented reality (AR) and virtual reality (VR) displays, and new mixed reality (MR) displays, which include both AR and VR. …","https://journals.sagepub.com/doi/full/10.1177/0018720820904229","https://scholar.google.com/scholar?q=related:d15jPDxIYigJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
277,"PA Rauschnabel, R Felix, C Hinsch, H Shahab…","What is XR? Towards a framework for augmented and virtual reality",2022,"Computers in human …","Elsevier","https://www.sciencedirect.com/science/article/pii/S074756322200111X","https://scholar.google.com/scholar?cites=15337984931275666836&as_sdt=2005&sciodt=0,5&hl=en",94,"2023-12-13 11:24:03","HTML","","","",,,,,277,277.00,55,5,1,"… either as a synonym for AR, as a combination of AR and VR, or as a “stronger” version of AR], we argue that our conceptualization of the assisted reality – mixed reality continuum is …","https://www.sciencedirect.com/science/article/pii/S074756322200111X","https://scholar.google.com/scholar?q=related:lPX65gd429QJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
251,"M Damar","Metaverse shape of your life for future: A bibliometric snapshot",2021,"Journal of Metaverse","dergipark.org.tr","https://dergipark.org.tr/en/pub/jmv/issue/67581/1051371","https://scholar.google.com/scholar?cites=9926011665629754880&as_sdt=2005&sciodt=0,5&hl=en",198,"2023-12-13 11:24:03","","","","",,,,,251,125.50,251,1,2,"… is handled intensively with virtual reality and augmented reality technologies, and the education … Using mixed reality in the visualization of maintenance processes. IFAC Proceedings …","https://dergipark.org.tr/en/download/article-file/2167665","https://scholar.google.com/scholar?q=related:ALY-BgVHwIkJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
231,"R Skarbez, M Smith, MC Whitton","Revisiting Milgram and Kishino's reality-virtuality continuum",2021,"Frontiers in Virtual Reality","frontiersin.org","https://www.frontiersin.org/articles/10.3389/frvir.2021.647997/full","https://scholar.google.com/scholar?cites=13285610598349226095&as_sdt=2005&sciodt=0,5&hl=en",76,"2023-12-13 11:24:03","HTML","10.3389/frvir.2021.647997","","",,,,,231,115.50,77,3,2,"… Second, we consider the term “mixed reality,” and argue for the continuing utility of Milgram and Kishino's definition, with one small but significant change: Instead of requiring that real …","https://www.frontiersin.org/articles/10.3389/frvir.2021.647997/full","https://scholar.google.com/scholar?q=related:b0DF8nL4X7gJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
216,"PA Rauschnabel, BJ Babin, MC tom Dieck…","What is augmented reality marketing? Its definition, complexity, and future",2022,"Journal of business …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0148296321010043","https://scholar.google.com/scholar?cites=3680125066484505892&as_sdt=2005&sciodt=0,5&hl=en",174,"2023-12-13 11:24:03","HTML","","","",,,,,216,216.00,54,4,1,"… reality for XR, which is often used in everyday discussions, might be misleading since the term “extended” excludes VR because VR replaces rather than extends reality… to Mixed Reality, …","https://www.sciencedirect.com/science/article/pii/S0148296321010043","https://scholar.google.com/scholar?q=related:JN3R9D9uEjMJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
195,"F Wang, S Galliani, C Vogel…","Patchmatchnet: Learned multi-view patchmatch stereo",2021,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content/CVPR2021/html/Wang_PatchmatchNet_Learned_Multi-View_Patchmatch_Stereo_CVPR_2021_paper.html","https://scholar.google.com/scholar?cites=18322732022474881641&as_sdt=2005&sciodt=0,5&hl=en",168,"2023-12-13 11:24:03","","","","",,,,,195,97.50,49,4,2,"… Evidently, low memory and time consumption are key to enable processing on memory and computational restricted devices such as phones or mixed reality headsets, as well as in …","https://openaccess.thecvf.com/content/CVPR2021/papers/Wang_PatchmatchNet_Learned_Multi-View_Patchmatch_Stereo_CVPR_2021_paper.pdf","https://scholar.google.com/scholar?q=related:aTpKSrJrR_4J:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
190,"S Barteit, L Lanfermann, T Bärnighausen…","Augmented, mixed, and virtual reality-based head-mounted devices for medical education: systematic review",2021,"JMIR serious …","games.jmir.org","https://games.jmir.org/2021/3/e29080/","https://scholar.google.com/scholar?cites=7937346210047058042&as_sdt=2005&sciodt=0,5&hl=en",121,"2023-12-13 11:24:03","HTML","","","",,,,,190,95.00,48,4,2,"Background: Augmented reality (AR), mixed reality (MR), and virtual reality (VR), realized as head-mounted devices (HMDs), may open up new ways of teaching medical content for low-…","https://games.jmir.org/2021/3/e29080/","https://scholar.google.com/scholar?q=related:euAl_VIeJ24J:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
181,"A Pregowska, K Masztalerz, M Garlińska, M Osial","A worldwide journey through distance education—from the post office to virtual, augmented and mixed realities, and education during the COVID-19 pandemic",2021,"Education Sciences","mdpi.com","https://www.mdpi.com/2227-7102/11/3/118","https://scholar.google.com/scholar?cites=13308738358003774847&as_sdt=2005&sciodt=0,5&hl=en",35,"2023-12-13 11:24:03","","","","",,,,,181,90.50,45,4,2,"… Moreover, the application of the latest technological developments, such as Virtual, Augmented, and Mixed Realities, is considered and discussed based on their usefulness as distance …","https://www.mdpi.com/2227-7102/11/3/118/pdf","https://scholar.google.com/scholar?q=related:fzVuHQYjsrgJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
178,"A Siyaev, GS Jo","Towards aircraft maintenance metaverse using speech interactions with virtual objects in mixed reality",2021,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/21/6/2066","https://scholar.google.com/scholar?cites=18367440137455844637&as_sdt=2005&sciodt=0,5&hl=en",8,"2023-12-13 11:24:03","","","","",,,,,178,89.00,89,2,2,"… metaverses in aircraft maintenance, mixed reality (MR) creates … Therefore, we propose mixed reality education and training of … , enhancing interaction with virtual objects in mixed reality. …","https://www.mdpi.com/1424-8220/21/6/2066/pdf","https://scholar.google.com/scholar?q=related:Hb1Oen1B5v4J:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
175,"A Bec, B Moyle, V Schaffer, K Timms","Virtual reality and mixed reality for second chance tourism",2021,"Tourism Management","Elsevier","https://www.sciencedirect.com/science/article/pii/S0261517720301825","https://scholar.google.com/scholar?cites=5209616383635731418&as_sdt=2005&sciodt=0,5&hl=en",5,"2023-12-13 11:24:03","HTML","","","",,,,,175,87.50,44,4,2,"… reality (VR) is a computer-generated simulation of an environment, whilst mixed reality (MR) … Augmented reality (AR) is a type of mixed reality where the real environment is overlayed in …","https://www.sciencedirect.com/science/article/pii/S0261517720301825","https://scholar.google.com/scholar?q=related:2rOpyn9GTEgJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
144,"D Buhalis, N Karatay","Mixed reality (MR) for generation Z in cultural heritage tourism towards metaverse",2022,"… and Communication Technologies in Tourism 2022 …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-94751-4_2","https://scholar.google.com/scholar?cites=5662758550107838152&as_sdt=2005&sciodt=0,5&hl=en",11,"2023-12-13 11:24:03","HTML","10.1007/978-3-030-94751-4_2","","",,,,,144,144.00,72,2,1,"… This study analysed the role of Mixed Reality (MR) from the perspective of Gen Z guests through 18 semi-structured interviews and inductive qualitative research. Participants believe …","https://link.springer.com/chapter/10.1007/978-3-030-94751-4_2","https://scholar.google.com/scholar?q=related:yNb7E-Yolk4J:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
128,"AJ Lungu, W Swinkels, L Claesen, P Tu…","A review on the applications of virtual reality, augmented reality and mixed reality in surgical simulation: an extension to different kinds of surgery",2021,"Expert review of …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/17434440.2021.1860750","https://scholar.google.com/scholar?cites=9707541419886183094&as_sdt=2005&sciodt=0,5&hl=en",2,"2023-12-13 11:24:03","","10.1080/17434440.2021.1860750","","",,,,,128,64.00,26,5,2,"… The authors describe and critically analyze implementation recommendations in the sense of a mixed reality ultrasound guidance system through a case study. In addition, an MR …","https://documentserver.uhasselt.be/bitstream/1942/33225/2/A%20review%20on%20the%20applications%20of%20virtual%20reality%2C%20augmented%20reality%20and%20mixed%20reality%20in%20surgical%20simulation%20an%20extension%20to%20different%20kinds%20of%20surgery%20-%20Auteursversie.pdf","https://scholar.google.com/scholar?q=related:tgK1Fn0duIYJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
120,"M Trunfio, MD Lucia, S Campana…","Innovating the cultural heritage museum service model through virtual reality and augmented reality: The effects on the overall visitor experience and satisfaction",2022,"Journal of Heritage …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/1743873X.2020.1850742","https://scholar.google.com/scholar?cites=7246557321618049229&as_sdt=2005&sciodt=0,5&hl=en",147,"2023-12-13 11:24:03","","10.1080/1743873X.2020.1850742","","",,,,,120,120.00,30,4,1,"… reality, virtual reality and mixed reality in tourism and cultural heritage. She has published several papers in leading journals, monographs, book chapters and conference papers. …","","https://scholar.google.com/scholar?q=related:zciMd33xkGQJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
109,"M Venkatesan, H Mohan, JR Ryan, CM Schürch…","Virtual and augmented reality for biomedical applications",2021,"Cell reports …","cell.com","https://www.cell.com/cell-reports-medicine/pdf/S2666-3791(21)00197-X.pdf","https://scholar.google.com/scholar?cites=14732259085495422063&as_sdt=2005&sciodt=0,5&hl=en",118,"2023-12-13 11:24:03","PDF","","","",,,,,109,54.50,22,5,2,"… 3D visualization technologies such as virtual reality (VR), augmented reality (AR), and mixed reality (MR) have gained popularity in the recent decade. Digital extended reality (XR) …","https://www.cell.com/cell-reports-medicine/pdf/S2666-3791(21)00197-X.pdf","https://scholar.google.com/scholar?q=related:b8z5WZV_c8wJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
109,"C Moro, J Birt, Z Stromberga, C Phelps…","Virtual and augmented reality enhancements to medical and science student physiology and anatomy test performance: A systematic review and meta‐analysis",2021,"Anatomical sciences …","Wiley Online Library","https://anatomypubs.onlinelibrary.wiley.com/doi/abs/10.1002/ase.2049","https://scholar.google.com/scholar?cites=7120520359187514486&as_sdt=2005&sciodt=0,5&hl=en",177,"2023-12-13 11:24:03","","10.1002/ase.2049","","",,,,,109,54.50,22,5,2,"… In particular, virtual reality, augmented reality, and mixed reality applications have demonstrated the potential to enhance knowledge acquisition and the overall learning experience. …","https://anatomypubs.onlinelibrary.wiley.com/doi/pdf/10.1002/ase.2049","https://scholar.google.com/scholar?q=related:dgRPYYor0WIJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
105,"D Westmattelmann, JG Grotenhermen…","The show must go on-virtualisation of sport events during the COVID-19 pandemic",2021,"European Journal of …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/0960085X.2020.1850186","https://scholar.google.com/scholar?cites=15065934288729759054&as_sdt=2005&sciodt=0,5&hl=en",146,"2023-12-13 11:24:03","","10.1080/0960085X.2020.1850186","","",,,,,105,52.50,35,3,2,"… We propose that mixed-reality applications like ZWIFT allow people to conduct virtually … Accordingly, we contribute to the literature on mixed-reality applications by focusing on user …","https://www.researchgate.net/profile/Daniel-Westmattelmann/publication/346659950_The_show_must_go_on_-virtualisation_of_sport_events_during_the_COVID-19_pandemic/links/5fcd453392851c00f8589042/The-show-must-go-on-virtualisation-of-sport-events-during-the-COVID-19-pandemic.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail&_rtd=e30%3D","https://scholar.google.com/scholar?q=related:Tl0dsWnzFNEJ:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
104,"T Morimoto, T Kobayashi, H Hirata, K Otani…","XR (extended reality: virtual reality, augmented reality, mixed reality) technology in spine medicine: status quo and quo vadis",2022,"Journal of Clinical …","mdpi.com","https://www.mdpi.com/2077-0383/11/2/470","https://scholar.google.com/scholar?cites=7941356082934008655&as_sdt=2005&sciodt=0,5&hl=en",1,"2023-12-13 11:24:03","HTML","","","",,,,,104,104.00,21,5,1,"… led to a significant advancement of virtual reality (VR), augmented reality (AR), and mixed reality (MR) technologies. Recently, the term XR (extended reality) technology, which more …","https://www.mdpi.com/2077-0383/11/2/470","https://scholar.google.com/scholar?q=related:T0srRkhdNW4J:scholar.google.com/&scioq=mixed+reality&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2023"
